gene,logFC,p_value,adj_p_value
1007_s_at,0.4759681761928807,0.00025232557009718975,0.00038487033188279
1053_at,0.5327699897405669,2.413977627018083e-05,4.446544233621964e-05
117_at,0.719518036359009,5.083139185480814e-12,8.948742124557158e-11
121_at,0.5777760147927964,1.4334154011432536e-12,3.320249000382029e-11
1255_g_at,0.6000838688499321,1.6220615325234522e-05,3.095614690751977e-05
1294_at,0.5976203172449228,2.5870947824347455e-05,4.733412680597211e-05
1316_at,0.6011574976165637,9.847313756038583e-11,9.456379504625069e-10
1320_at,0.5808011865223763,0.0002112976503207879,0.00032644703196963993
1405_i_at,0.6047411979468293,0.001443694958162292,0.0019395788467822474
1431_at,0.4973823562179369,0.004680698602377078,0.005856260918403618
1438_at,0.5575792924741698,0.0005769421405329731,0.0008278705465578104
1487_at,0.7570132424831506,1.7993379258614247e-10,1.5445131490117812e-09
1494_f_at,0.956414174111746,2.2122256791379627e-10,1.8325288032799712e-09
1598_g_at,0.6244011601658457,8.827837181856019e-07,2.2613024016932715e-06
160020_at,0.4911091061077837,6.744666028833935e-07,1.7803835192091237e-06
1729_at,0.7647960065546293,0.0001088806692265752,0.0001771198680373613
1773_at,0.5788756365458845,0.0014283802471412577,0.0019207408754479901
177_at,0.32596109924706784,0.023502114731322445,0.02699889789957509
179_at,0.3620948094670666,2.3516971750560935e-05,4.343739070936251e-05
1861_at,0.4982973594098503,3.395198720550156e-05,6.064546139480491e-05
200000_s_at,0.8255286101733628,0.0008426727843329796,0.0011753428676321846
200001_at,1.2848615901425298,9.278319544728443e-09,4.2505919904437476e-08
200002_at,0.7446234639536868,3.405069835757349e-08,1.2983431066081623e-07
200003_s_at,0.6961857381066441,7.398010808953653e-07,1.934244390433554e-06
200004_at,0.5210412682524925,3.609265622657991e-05,6.412986673286661e-05
200005_at,0.7987452103680646,1.5843407850372853e-07,4.970275336193978e-07
200006_at,0.6662224621469957,4.3463598521847603e-07,1.2056510910192487e-06
200007_at,0.6448697912557488,9.912571119032964e-11,9.498631983503172e-10
200008_s_at,0.8483229591361159,8.673043701278228e-14,4.156159845066296e-12
200009_at,0.6907214252880554,1.4764814759842746e-10,1.31286658935984e-09
200010_at,0.5749352146126867,0.03329933054783404,0.03769030236183196
200011_s_at,0.5660119149234095,0.01115282241565167,0.01327271640076726
200012_x_at,0.633193654077127,2.985519540339772e-08,1.1581882297595949e-07
200013_at,0.4561280085795101,0.0036460304364894325,0.0046229939806699686
200014_s_at,0.8283237931244134,3.529534628425426e-07,1.0038113608832645e-06
200015_s_at,0.7233714271664962,2.544372630473917e-11,3.183394459564868e-10
200016_x_at,0.518187675399064,1.999873645375784e-06,4.7146830765878756e-06
200017_at,0.33824916904272406,0.0001108333948291816,0.00018005982334344222
200018_at,0.42560614597718427,6.458562679899177e-06,1.3480343967421635e-05
200019_s_at,0.7191411698881716,5.569252573606272e-12,9.546127315205274e-11
200020_at,0.3764883868087363,0.041826241791363544,0.04681841291188797
200021_at,0.6189857204841172,0.00028118074099000423,0.00042524436347768867
200022_at,1.08356893969842,1.7356310072256916e-06,4.142129777659857e-06
200023_s_at,0.8368385908789584,3.4700039943891592e-06,7.700637287817313e-06
200024_at,0.7725715297971067,1.063111063760981e-07,3.503298407835838e-07
200025_s_at,0.5544279340673164,1.260679727362348e-08,5.503864883388558e-08
200026_at,0.38632319084011435,0.0006899618337361005,0.000977208386267179
200027_at,0.5150688940389347,0.0009243489070205633,0.0012798898089317848
200028_s_at,0.35900333044414445,0.018956970809068132,0.021998655376443348
200029_at,0.7013150936512069,0.0008043559837272594,0.001125633635960216
200030_s_at,0.5297233432221748,5.716896858402511e-07,1.536295377421408e-06
200031_s_at,0.6767450415503067,1.6111045988194302e-08,6.786435496312545e-08
200032_s_at,0.5016257964982653,4.876870393946733e-06,1.0445146384882263e-05
200033_at,0.6651515885093513,1.5590087508569965e-05,2.9852532435633283e-05
