gene,logFC,p_value,adj_p_value
200001_at,1.2848615901425298,9.278319544728443e-09,4.2505919904437476e-08
200022_at,1.08356893969842,1.7356310072256916e-06,4.142129777659857e-06
200041_s_at,1.3865678298833686,2.1179670862413864e-07,6.414932796345903e-07
200052_s_at,1.216765421324883,7.086382764334346e-07,1.8607808995717916e-06
200065_s_at,1.1158090819338362,0.0004174889807529907,0.0006121773066651087
200075_s_at,1.0536922614404016,6.270993597209787e-05,0.00010652275524212965
200078_s_at,1.298891085825085,2.454603834846504e-06,5.647489649136256e-06
200605_s_at,1.0793481745963174,8.300655751366128e-07,2.141205295597129e-06
200613_at,1.3889064342166026,1.4426976987822013e-07,4.585250854226202e-07
200622_x_at,1.050778226425921,8.993644556682719e-09,4.1423187609872056e-08
200634_at,1.4549730990565433,1.8508841906664867e-05,3.489867356627291e-05
200638_s_at,1.2767466753985932,3.833452572148283e-05,6.778892442280787e-05
200648_s_at,1.4629766286776498,3.5954262359623073e-09,1.889708613670749e-08
200651_at,1.00372417635006,6.425123039555689e-05,0.00010893328516352385
200654_at,1.6000550575048935,2.685541083370054e-06,6.116303348398908e-06
200665_s_at,1.1493186898204097,5.722263727778181e-07,1.5373201805345051e-06
200689_x_at,1.0120448996878775,2.94746203963047e-06,6.650966747249191e-06
200707_at,1.1239765302489149,1.4403672844281343e-10,1.287949606697918e-09
200716_x_at,1.1282509878094604,9.073538185348159e-09,4.1713565377370134e-08
200723_s_at,1.2673875007184847,2.3525377768785606e-05,4.344314941120715e-05
200736_s_at,1.471711971026389,1.2396756215838616e-05,2.424665819413588e-05
200737_at,1.483975954364654,0.0001463954506241409,0.0002325773439510717
200739_s_at,1.2361764139352127,3.3652831529048305e-07,9.609238518105144e-07
200744_s_at,1.0801471167007728,1.0271745512289081e-06,2.582772571093857e-06
200750_s_at,1.211787474539209,0.005641687613680657,0.006972088353149913
200751_s_at,1.5998444560015637,3.0180748457402744e-08,1.1689859514623768e-07
200786_at,1.032129435079991,3.696654617480999e-07,1.0444092156882098e-06
200788_s_at,1.0971079546446472,2.2434383434190701e-07,6.742413293468168e-07
200789_at,1.2551653034365557,7.720811538823249e-07,2.010550935136128e-06
200793_s_at,1.4415414730621592,1.6749508554461494e-07,5.217800910374185e-07
200802_at,1.2517875396854148,1.8057609776954546e-13,7.064312698330304e-12
200806_s_at,1.4234533109971998,3.180673728430845e-08,1.2230362845664283e-07
200818_at,1.023199891883813,0.00022459944317411727,0.0003452027446715999
200823_x_at,1.0056147614465036,2.0404739561772514e-07,6.208066789390728e-07
200828_s_at,1.0122579641771967,7.027140872120012e-17,3.2622037511135466e-14
200830_at,1.1606633243726243,8.949363889626168e-06,1.8104282846349513e-05
200832_s_at,1.1762615235742118,0.00031698588497105427,0.0004751057022136277
200837_at,1.2718161440185778,3.235152411277514e-09,1.7242023721716538e-08
200852_x_at,1.386803652539819,1.831497375650991e-08,7.58291639197901e-08
